subspace,n,radius,ratio1,ratio2,fd_err,h,triple
sym,16,10.0,9.821473927999872,0.7994478954181631,8.788998363902705e-11,,
sym,16,10.0,18.44682124524639,2.0862899868405984,2.989131584396248e-10,,
sym,16,10.0,9.964038334973935,1.3942507590416517,1.1965967371830753e-10,,
sym,16,10.0,7.805923385939192,1.4097272430985501,1.7639209884685524e-10,,
sym,16,10.0,17.57004130642953,1.303590655403685,2.4654349471930874e-10,,
sym,32,0.1,0.9976151453360729,0.12680099840855524,9.833222709946009e-12,,
sym,32,0.1,0.9990379025382616,0.12675480331128608,9.71483403738878e-12,,
sym,32,0.1,1.0004916728984883,0.1272757643919427,9.512265586498007e-12,,
sym,32,0.1,0.9998603682761039,0.1210609312760404,9.18543742368724e-12,,
sym,32,0.1,0.998770501164435,0.12796032613605748,9.541712049539708e-12,,
sym,32,1.0,1.0257976789333005,0.12677598868431722,9.886340223273946e-12,,
sym,32,1.0,1.0436099976760869,0.1323368052794319,9.576117473104195e-12,,
sym,32,1.0,1.0247353154740204,0.133661420938308,1.1520732530972092e-11,,
sym,32,1.0,1.0116723938383507,0.13500655768054784,1.0588940744333149e-11,,
sym,32,1.0,0.9933169842493599,0.12340253585436826,9.875581553932164e-12,,
sym,32,3.0,1.1368409819128973,0.12923990770434915,1.086530543785585e-11,,
sym,32,3.0,1.1529709020065007,0.13554597728925877,1.0372986066220809e-11,,
sym,32,3.0,1.182929072829588,0.1462539165236479,1.2389022925008518e-11,,
sym,32,3.0,1.2070055932966788,0.15024518112896987,1.3328626301175879e-11,,
sym,32,3.0,1.143821481806,0.13460920358106643,1.0249080373157218e-11,,
sym,32,10.0,4.421029458241454,0.4120592304876872,4.131198494366624e-11,,
sym,32,10.0,4.452081435115603,0.32432164664503926,5.109710716317243e-11,,
sym,32,10.0,3.1404477560574957,0.3073046439925798,3.128341084092437e-11,,
sym,32,10.0,4.069342746920993,0.40658841238962684,3.744315969658556e-11,,
sym,32,10.0,4.080828465295266,0.4102470285579686,5.4363224940934174e-11,,
sym,64,0.1,1.000015416731417,0.09239753877239808,7.163858004839125e-12,,
