kind,obj,eta_mult,init,T,min_grad_sq,bound,slack,rho_predicted,rho_empirical_1step,grows,predicted_grows,err
rate,quadratic,0.1,6.0,20000,3.078961574437442e-24,0.0717545840327023,2.3304800108072996e+22,,,,,
rate,quadratic,0.1,7.0,10,42.50697596345535,129.46243688920467,3.045675067558506,,,,,
rate,quadratic,0.1,7.0,100,0.16676583373370577,12.946243688920466,77.63127134058662,,,,,
rate,quadratic,0.1,7.0,1000,0.001047488999315775,1.2946243688920467,1235.9312314856784,,,,,
rate,quadratic,0.1,7.0,10000,1.6982680509875547e-13,0.12946243688920467,762320393496.9003,,,,,
rate,quadratic,0.1,7.0,20000,2.3222198926388868e-24,0.06473121844460233,2.7874715331563247e+22,,,,,
rate,quadratic,0.5,0.0,10,1.050841545187831,34.46331929525624,32.795923850818205,,,,,
rate,quadratic,0.5,0.0,100,0.009023632641632284,3.446331929525624,381.9228980605107,,,,,
rate,quadratic,0.5,0.0,1000,1.1024682810619713e-07,0.3446331929525624,3126014.5881075924,,,,,
rate,quadratic,0.5,0.0,10000,1.3067195812215308e-30,0.03446331929525624,2.637392122266943e+28,,,,,
rate,quadratic,0.5,0.0,20000,1.3067195812215308e-30,0.01723165964762812,1.3186960611334715e+28,,,,,
rate,quadratic,0.5,1.0,10,0.7418058253554807,32.326380894730654,43.57795502514359,,,,,
rate,quadratic,0.5,1.0,100,0.006201632340002184,3.2326380894730655,521.2560036204802,,,,,
rate,quadratic,0.5,1.0,1000,6.172655029580575e-08,0.32326380894730655,5237030.214683357,,,,,
rate,quadratic,0.5,1.0,10000,1.4164133286165363e-30,0.03232638089473066,2.2822703120356146e+28,,,,,
rate,quadratic,0.5,1.0,20000,1.4164133286165363e-30,0.01616319044736533,1.1411351560178073e+28,,,,,
rate,quadratic,0.5,2.0,10,0.828115023494413,28.737215287113894,34.701961046245614,,,,,
rate,quadratic,0.5,2.0,100,0.0033099135647353863,2.8737215287113895,868.216487381637,,,,,
rate,quadratic,0.5,2.0,1000,2.7346156561442768e-08,0.28737215287113893,10508685.278147085,,,,,
rate,quadratic,0.5,2.0,10000,1.538974695452479e-30,0.028737215287113895,1.8672961532135375e+28,,,,,
rate,quadratic,0.5,2.0,20000,1.538974695452479e-30,0.014368607643556948,9.336480766067687e+27,,,,,
rate,quadratic,0.5,3.0,10,1.1734541319603295,40.572582574157344,34.5753459544075,,,,,
rate,quadratic,0.5,3.0,100,0.005088962895831066,4.057258257415735,797.2662289873414,,,,,
rate,quadratic,0.5,3.0,1000,4.778507527819062e-08,0.40572582574157345,8490639.041155785,,,,,
rate,quadratic,0.5,3.0,10000,1.4385494859148371e-30,0.04057258257415735,2.8203814308379843e+28,,,,,
rate,quadratic,0.5,3.0,20000,1.4385494859148371e-30,0.020286291287078675,1.4101907154189922e+28,,,,,
rate,quadratic,0.5,4.0,10,0.9409698607409412,44.48281508110936,47.27336861361592,,,,,
rate,quadratic,0.5,4.0,100,0.005508613014600395,4.448281508110935,807.5138871292852,,,,,
