subspace,n,m,B,radius,lambda_max,bound,ratio,B_eff,ratio_eff,kind,random_dir_lambda_max,random_dir_ratio_eff
so,32,16.0,0.5,10.0,0.013228468058700777,0.25,0.05291387223480311,0.36374699042978403,0.09997944820892375,random_features,,
so,32,16.0,0.5,100.0,0.03910029139562592,0.25,0.1564011655825037,0.36374699042978403,0.2955161203244233,random_features,,
so,32,16.0,0.5,1000.0,0.06330347504046659,0.25,0.25321390016186635,0.36374699042978403,0.4784413793168148,random_features,,
so,32,16.0,0.5,10000.0,0.03297799820006325,0.25,0.131911992800253,0.36374699042978403,0.24924443619974457,random_features,,
sym,32,16.0,0.5,0.01,0.010694234034304759,0.25,0.042776936137219036,0.37074906204245994,0.07780178517714798,random_features,,
sym,32,16.0,0.5,0.1,0.010701548550874122,0.25,0.04280619420349649,0.37074906204245994,0.07785499912823403,random_features,,
sym,32,16.0,0.5,1.0,0.010779386329970251,0.25,0.043117545319881004,0.37074906204245994,0.07842127794245085,random_features,,
sym,32,16.0,0.5,10.0,0.012378182471956004,0.25,0.049512729887824014,0.37074906204245994,0.09005270414668531,random_features,,
sym,32,16.0,0.5,100.0,0.05101791019440512,0.25,0.20407164077762047,0.37074906204245994,0.3711611767985944,random_features,,
sym,32,16.0,0.5,1000.0,0.06146640260967513,0.25,0.24586561043870053,0.37074906204245994,0.447175163374001,random_features,,
sym,32,16.0,0.5,10000.0,0.025462345586998843,0.25,0.10184938234799537,0.37074906204245994,0.18524149884052665,random_features,,
sl,32,16.0,0.5,0.01,0.01858475909127834,0.25,0.07433903636511335,0.499999083842152,0.07433930879102842,random_features,,
sl,32,16.0,0.5,0.1,0.018600553115300077,0.25,0.07440221246120031,0.499999083842152,0.07440248511863311,random_features,,
sl,32,16.0,0.5,1.0,0.018784692601720124,0.25,0.0751387704068805,0.499999083842152,0.07513904576353408,random_features,,
sl,32,16.0,0.5,10.0,0.023899644916636934,0.25,0.09559857966654774,0.499999083842152,0.09559893000106669,random_features,,
sl,32,16.0,0.5,100.0,0.08742794687967502,0.25,0.3497117875187001,0.499999083842152,0.3497130690870171,random_features,,
sl,32,16.0,0.5,1000.0,0.1256541423544681,0.25,0.5026165694178724,0.499999083842152,0.5026184113273932,random_features,,
sl,32,16.0,0.5,10000.0,0.014542784690007195,0.25,0.05817113876002878,0.499999083842152,0.05817135193639589,random_features,,
