geom,arm,seed,auc,r_task,r_geo,rho,menv_orth,menv_sym,menv_cond,recon_err,status
gl,sl,9,7.869832857989968,0.14522506079882055,0.7808243530081894,2.5653438568115234,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,gl,9,7.895907581427092,0.14630832194874294,0.7826846953735688,2.7521462440490723,10.42094405394354,2.508319615094323,437.8852052281773,1.7763568394002505e-15,ok
gl,sym,9,6.590071256071279,0.15486254440182542,0.60425440536278,1695.1944580078125,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
diag,baseline_ppo,0,9.669059041654107,0.1601313244061208,0.9886355232050021,,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,so,0,9.511667935383297,0.15552059925963813,0.9738297296921412,1.0000008344650269,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sl,0,9.405827987483779,0.15540471278995252,0.9602151106834411,2.2811514139175415,2.6224428049804254,0.0,2.7482758398965554,1.7763568394002505e-15,ok
diag,gl,0,9.338466720003504,0.15231460990238296,0.9564231953456996,2.3225048780441284,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sym,0,9.464225394435402,0.1461803841440803,0.9829228490799665,2.5961161851882935,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,baseline_ppo,1,9.709505521535498,0.1642849737509022,0.9881738122512896,,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,so,1,9.397444565799109,0.14286367009722056,0.978542499650518,1.0000009536743164,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sl,1,9.256041234061033,0.1423174678058965,0.9612849684315424,2.533987283706665,2.6224428049804254,0.0,2.7482758398965554,1.7763568394002505e-15,ok
diag,gl,1,9.330523940894986,0.1493504353188778,0.9607678877475361,2.4339656829833984,2.6224428049804254,0.0,2.7482758398965554,1.7763568394002505e-15,ok
diag,sym,1,9.412495309743166,0.14330063295610854,0.9805200366139412,2.7572416067123413,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,baseline_ppo,2,9.486072160617129,0.1446715731415413,0.9886670092274746,,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,so,2,9.438224387395653,0.14876056398921253,0.9745966823046406,1.0000008344650269,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sl,2,9.386146386227173,0.1532342652866171,0.9613005287523072,2.591350793838501,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,gl,2,9.201566553124277,0.13739374462441564,0.9615321558507779,2.599076509475708,2.6224428049804254,0.0,2.7482758398965554,3.552713678800501e-15,ok
diag,sym,2,9.377616707156644,0.14103689332601513,0.9794825034767389,3.059490442276001,2.6224428049804254,0.0,2.7482758398965554,3.552713678800501e-15,ok
diag,baseline_ppo,3,9.61643028466587,0.15536979443340976,0.9893465442627669,,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,so,3,9.39230936439003,0.14660321177765803,0.9722023105231425,1.0000008940696716,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sl,3,9.295704399381998,0.14814101263546445,0.9574319995552301,2.5445547103881836,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,gl,3,9.305572366047803,0.14817234030693302,0.9589589986552796,2.3414617776870728,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sym,3,9.50938136923944,0.15037967428865792,0.982234255467852,2.7241791486740112,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,baseline_ppo,4,9.689272522055115,0.16206930024719618,0.9884516694704693,,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,so,4,9.515744857484679,0.15439264246493323,0.9757221662798276,1.0000008344650269,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sl,4,9.363733244362056,0.15561359872408648,0.9546230665991704,2.463582992553711,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,gl,4,9.339069704728782,0.15413390161058127,0.9539120105991759,2.333477020263672,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sym,4,9.507726092389166,0.15007064942237888,0.9821292250603437,2.877941608428955,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,baseline_ppo,5,9.689312086690414,0.16144283768318105,0.9895469704508779,,2.6224428049804254,0.0,2.7482758398965554,1.7763568394002505e-15,ok
diag,so,5,9.508432200548564,0.15366274089349324,0.9763046256949505,1.0000008940696716,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sl,5,9.273789150812934,0.1472948583866796,0.9561969674001136,2.4440897703170776,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,gl,5,9.438365397381368,0.1593061390435871,0.9587220337495209,2.5860716104507446,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
diag,sym,5,9.72114683478185,0.17058530509904113,0.9787777958105008,2.914813756942749,2.6224428049804254,0.0,2.7482758398965554,0.0,ok
