draw,m_env_seed,arm,seed,auc,r_task,r_geo,rho,recon_err,status
8,900008,sl,2,7.93830351587058,0.14503996126329285,0.789333057880836,2.281182885169983,1.7763568394002505e-15,ok
8,900008,gl,2,7.865876130460842,0.1388988624048934,0.7893586930694991,2.475274920463562,8.881784197001252e-16,ok
8,900008,sym,2,6.79299052207258,0.15026180533570935,0.6366992348525674,1072.2675170898438,1.7763568394002505e-15,ok
9,900009,baseline_ppo,0,6.141966162083959,0.15835188090274896,0.5433841415318971,,8.881784197001252e-16,ok
9,900009,so,0,8.679814886423417,0.14681962644741012,0.8805027513244499,1.0000008344650269,0.0,ok
9,900009,sl,0,8.094969384345735,0.1449177782221114,0.810108862092408,2.6385576725006104,0.0,ok
9,900009,gl,0,8.014939756240814,0.13647316305163967,0.8128057100777204,2.5196460485458374,0.0,ok
9,900009,sym,0,6.9557471100582955,0.15177849336952487,0.6553255041100706,521.904296875,0.0,ok
9,900009,baseline_ppo,1,6.430819741327019,0.1675991346711478,0.566540946997516,,0.0,ok
9,900009,so,1,8.498221952694275,0.1551862989682224,0.8452845088200643,1.0000008344650269,0.0,ok
9,900009,sl,1,8.043222059495745,0.14401195585853493,0.8049336178523178,2.3319084644317627,0.0,ok
9,900009,gl,1,8.093241335620498,0.14614457917188756,0.8077480680225417,2.4273449182510376,0.0,ok
9,900009,sym,1,6.778571471822946,0.15159479576944496,0.6336497003845094,1433.8392944335938,0.0,ok
9,900009,baseline_ppo,2,6.212723476671973,0.15851175132829923,0.5528031147036392,,0.0,ok
9,900009,so,2,8.749092614330062,0.153147289903111,0.8794483356322782,1.0000008344650269,0.0,ok
9,900009,sl,2,8.098691327034476,0.1504160265114156,0.8018813694158259,2.488623023033142,0.0,ok
9,900009,gl,2,8.17310016795911,0.15455361929228387,0.8051135890547186,2.572327971458435,0.0,ok
9,900009,sym,2,6.983731242116865,0.15256197199670377,0.6574916338845778,648.7900695800781,0.0,ok
10,900010,baseline_ppo,0,6.2838240186456025,0.1774191809232173,0.5322477666786561,,0.0,ok
10,900010,so,0,8.573323101533395,0.15329273155287282,0.8572009648353174,1.0000009536743164,0.0,ok
10,900010,sl,0,8.025484899141691,0.14451866102036198,0.8015182995826006,2.3878304958343506,0.0,ok
