arm,theta_lr,seed,auc,r_task,r_geo,rho,orth_err,recon_err,status
so_expm,0.1,5,8.649091546284021,0.14918210979120045,0.8729128570943451,1.0000009536743164,1.967639154276668e-06,0.0,ok
so_cayley,0.0003,5,6.914792046638938,0.17229134245865918,0.620161072846859,1.0000016689300537,3.9048796574014943e-07,0.0,ok
so_cayley,0.003,5,7.921289385453702,0.15248986279645912,0.7762502448290277,1.0000011920928955,3.308325766671061e-07,0.0,ok
so_cayley,0.01,5,8.28391931130967,0.16235004642235534,0.8069370091296111,1.0000009536743164,2.771644795895867e-07,0.0,ok
so_cayley,0.03,5,8.399914350984881,0.16316363874388434,0.8205343845777834,1.0000007152557373,2.411335252583413e-07,0.0,ok
so_cayley,0.1,5,8.494208476915329,0.1544523446264163,0.8457014252447212,1.0000007152557373,2.4405142273753455e-07,0.0,ok
baseline_ppo,,6,6.49116823806936,0.1743520928696093,0.563612123193716,,,0.0,ok
so_expm,0.0003,6,7.090508488622295,0.1548287326032867,0.6685243223177267,1.0000009536743164,1.2819568551147853e-06,8.881784197001252e-16,ok
so_expm,0.003,6,8.446446564439274,0.16889902079564012,0.8183536910776049,1.0000011920928955,1.477278728012621e-06,0.0,ok
so_expm,0.01,6,8.602460772684152,0.15775292807690333,0.8544749436783293,1.0000009536743164,1.3074274232138805e-06,0.0,ok
so_expm,0.03,6,8.704917402439303,0.14905002795980934,0.8805058782765641,1.0000009536743164,2.2116100624192114e-06,0.0,ok
so_expm,0.1,6,8.453457399520076,0.1457922841363857,0.8535263821346687,1.0000008940696716,3.46455686939251e-06,0.0,ok
so_cayley,0.0003,6,7.358491742941827,0.177033751669181,0.6696629599100911,1.0000008344650269,4.5639840728917136e-07,0.0,ok
so_cayley,0.003,6,8.13851801253427,0.157432544496407,0.7964673781677459,1.0000011920928955,3.463926436797493e-07,0.0,ok
so_cayley,0.01,6,8.2208124661821,0.14949675987991468,0.8184286709114288,1.000001072883606,2.4813015109259595e-07,0.0,ok
so_cayley,0.03,6,8.354197994667757,0.14239002953715088,0.8458494159787271,1.0000007152557373,2.3096552137502613e-07,0.0,ok
so_cayley,0.1,6,8.646426431304587,0.15129477907927094,0.8694935204255706,1.0000007152557373,1.7470836199962037e-07,1.7763568394002505e-15,ok
baseline_ppo,,7,6.436954608204192,0.18192012962026818,0.5452376041238196,,,0.0,ok
so_expm,0.0003,7,7.048447383504901,0.15473702861547942,0.6637344144918645,1.0000009536743164,2.3550589396403865e-06,0.0,ok
so_expm,0.003,7,8.117875348926306,0.1583518010652278,0.7930131006956256,1.0000009536743164,1.7883694036768816e-06,0.0,ok
so_expm,0.01,7,8.21452932262288,0.14425668569487696,0.8256849454906924,1.0000009536743164,1.3155161351363631e-06,1.7763568394002505e-15,ok
so_expm,0.03,7,8.349938166251766,0.14568503718743997,0.8409084867909395,1.0000009536743164,1.632677053997611e-06,0.0,ok
so_expm,0.1,7,8.823289452871899,0.16614742590728165,0.8700198922427838,1.0000009536743164,1.913944943865431e-06,0.0,ok
