w,c_geo,arm,seed,r_task,r_geo,auc,rho,recon_err,status
0.2,0.0,so(32),4,0.18437583917337835,0.5070803905365057,4.902252005950536,1.0000009536743164,0.0,ok
0.2,0.05,so(32),4,0.17065929782126718,0.7764249057079974,5.750077308618847,1.0000011324882507,0.0,ok
0.2,0.25,so(32),4,0.1655928339502099,0.8174622314849248,5.832748268048325,1.0000009536743164,0.0,ok
0.2,1.0,so(32),4,0.1576128960667404,0.8596736326257388,5.875247122894854,1.0000008940696716,0.0,ok
0.2,,baseline_ppo,5,0.20249775103108628,0.5422773565266592,5.323818583417867,,0.0,ok
0.2,0.0,so(32),5,0.19266619662199633,0.4989151200206174,4.998203768282562,1.000001072883606,0.0,ok
0.2,0.05,so(32),5,0.17844399844280648,0.7663971640425424,5.831103329572839,1.0000011920928955,8.881784197001252e-16,ok
0.2,0.25,so(32),5,0.16998967950187363,0.848987180790243,6.026247715411448,1.0000009536743164,0.0,ok
0.2,1.0,so(32),5,0.17483192557296082,0.8570773141952229,6.134810893220529,1.0000010132789612,0.0,ok
0.2,,baseline_ppo,6,0.19280491223005913,0.5538115081616055,5.213041584864466,,0.0,ok
0.2,0.0,so(32),6,0.18265071617047127,0.5164083467050766,4.90822424322889,1.000001072883606,0.0,ok
0.2,0.05,so(32),6,0.16801599484132373,0.7851186330665524,5.740874678851869,1.0000011920928955,0.0,ok
0.2,0.25,so(32),6,0.1680713838857618,0.8623068481967473,6.046094267280256,1.000001072883606,0.0,ok
0.2,1.0,so(32),6,0.16896962503437626,0.8883771583855772,6.1656688437117895,1.0000009536743164,0.0,ok
0.2,,baseline_ppo,7,0.20262823675340005,0.543109956584964,5.332315075513761,,0.0,ok
0.2,0.0,so(32),7,0.16683311231012787,0.5202997958064235,4.672688785211824,1.000001072883606,8.881784197001252e-16,ok
0.2,0.05,so(32),7,0.15455355680346708,0.7850173960268342,5.527697894123384,1.0000011324882507,0.0,ok
0.2,0.25,so(32),7,0.16464805652731743,0.8320951214536249,5.873251091387342,1.0000009536743164,0.0,ok
0.2,1.0,so(32),7,0.1559776895986448,0.8507459841719363,5.810193401710011,1.0000009536743164,0.0,ok
0.2,,baseline_ppo,8,0.19959848375177852,0.5383653801842904,5.263760491321863,,0.0,ok
0.2,0.0,so(32),8,0.17759265300402463,0.5204966366299895,4.847769376102071,1.0000008940696716,0.0,ok
0.2,0.05,so(32),8,0.16871399821065144,0.7756033152615963,5.71640583413344,1.000001072883606,0.0,ok
0.2,0.25,so(32),8,0.16681502184763447,0.876122028499314,6.08518997511656,1.0000009536743164,0.0,ok
0.2,1.0,so(32),8,0.17116893082187568,0.8750002492949055,6.149749152569772,1.0000007152557373,0.0,ok
0.2,,baseline_ppo,9,0.191547464795394,0.5344629967877641,5.119082489664588,,0.0,ok
0.2,0.0,so(32),9,0.1677026541101353,0.4867595080039309,4.553377394055555,1.000001072883606,0.0,ok
0.2,0.05,so(32),9,0.1598099705015398,0.7889286498730381,5.627465672016821,1.000001072883606,0.0,ok
0.2,0.25,so(32),9,0.1580498041177202,0.8536125795111061,5.8538949893790235,1.0000008940696716,0.0,ok
0.2,1.0,so(32),9,0.1601964758569771,0.8680459260786574,5.943837530432488,1.0000008344650269,0.0,ok
0.4,,baseline_ppo,0,0.1888382065015251,0.5387519277841163,6.468694921088812,,0.0,ok
0.4,0.0,so(32),0,0.15877324354443803,0.5174685923095638,5.948356302399669,1.0000009536743164,8.881784197001252e-16,ok
0.4,0.05,so(32),0,0.145886571816127,0.7658559481803326,7.759967959731667,1.0000011324882507,8.881784197001252e-16,ok
0.4,0.25,so(32),0,0.15729252749491027,0.8487701552066952,8.555562534935767,1.0000009536743164,0.0,ok
0.4,1.0,so(32),0,0.14927651753457025,0.8923004203623781,8.801884045656061,1.0000008344650269,0.0,ok
0.4,,baseline_ppo,1,0.17890876808510978,0.5474137968316984,6.414925951869051,,8.881784197001252e-16,ok
0.4,0.0,so(32),1,0.15247904439708768,0.5196808844676086,5.885164850811467,1.0000009536743164,0.0,ok
0.4,0.05,so(32),1,0.14177462993224918,0.7814293403834728,7.834016121775532,1.000001072883606,0.0,ok
